#d, A, omega, M
2, 8.2229105e+08, 12400, 570.26
2, 8.2229105e+08, 12490, 569.95
2, 8.2229105e+08, 12700, 569.3
2, 8.2229105e+08, 12740, 569.17
2, 8.2229105e+08, 12800, 568.81
2, 1.91e+09, 19946.113, 567.35
2, 2.03e+09, 19946.113, 568.58
2, 1.55696E+09, 16000, 571.61
2, 2.0E+09, 17000, 573.54
2, 2.0E+09, 13000, 589.31
2, 1.0E+09, 19000, 557.35
2, 9.0E+08, 15500, 561.43
4, 8.2229105e+08, 12500, 587.73
4, 8.2229105e+08, 13035, 584.72
4, 8.2229105e+08, 13060, 584.59
4, 8.2229105e+08, 13560, 582.02
4, 1.95e+09, 19946.113, 584.03
4, 1.99e+09, 19946.113, 584.71
4, 2.00e+09, 19946.113, 584.88
4, 1.40e+09, 19000, 577.16
4, 1.50583e+09, 16000, 590.82
4, 2.2E+09, 13000, 629.11
4, 2.6E+09, 15000, 620.4
4, 2.5E+09, 18000, 600.21
6, 8.2229105e+08, 14900, 586.47
6, 8.2229105e+08, 14950, 586.2
6, 8.2229105e+08, 15270, 584.85
6, 1.41e+09, 19946.113, 584.44
6, 1.49e+09, 19946.113, 586.10
6, 1.50e+09, 19946.113, 586.38
6, 1.00e+09, 18000, 590.11
6, 2.50e+09, 18000, 620.8
6, 1.60274e+09, 16000, 608.92
6, 2.0E+09, 14000, 639.89
6, 1.2E+09, 14500, 605.26
6, 2.5E+09, 19900, 610.49
6, 2.6e+09, 14500, 655.21
8, 8.2229105e+08, 14880, 595.22
8, 8.2229105e+08, 14900, 595.01
8, 8.2229105e+08, 15100, 593.85
8, 1.45e+09, 19946.113, 593.53
8, 1.50e+09, 19946.113, 594.9
8, 1.51e+09, 19946.113, 595.18
8, 1.40e+09, 19000, 596.21
8, 1.02745e+09, 16000, 598.23
8, 2.0E+09, 17000, 630.52
8, 1.4E+09, 13000, 646.59
8, 9.0e+08, 19500, 579.59
8, 2.55E+09, 12500, 725.63
8, 2.6e+09, 19500, 629.08
