#Time, Au, Ag, Is FWHM well defined? 
5,  2.8, 0,   Y
10, 2.8, 0,   Y
15, 2.8, 0,   Y
20, 2.8, 0,   Y
30, 2.8, 0,   Y
40, 2.8, 0,   Y
50, 2.8, 0,   Y
60, 2.8, 0,   Y
5,  0,   2.8, Y
10, 0,   2.8, Y
15, 0,   2.8, Y
20, 0,   2.8, Y
30, 0,   2.8, Y
40, 0,   2.8, Y
50, 0,   2.8, Y
60, 0,   2.8, Y
20, 2.8, 2.8, Y
30, 2.8, 2.8, Y
40, 2.8, 2.8, Y
50, 2.8, 2.8, Y
60, 2.8, 2.8, Y
30, 2.8, 5.6, Y
40, 2.8, 5.6, Y
50, 2.8, 5.6, Y
60, 2.8, 5.6, Y
30, 2.8, 8.4, Y
40, 2.8, 8.4, Y
50, 2.8, 8.4, Y
60, 2.8, 8.4, Y
5,  2.8, 2.8, N
10, 2.8, 2.8, N
15, 2.8, 2.8, N
5,  2.8, 5.6, N
10, 2.8, 5.6, N
15, 2.8, 5.6, N
20, 2.8, 5.6, N
5,  2.8, 8.4, N
10, 2.8, 8.4, N
15, 2.8, 8.4, N
20, 2.8, 8.4, N
